Number,Full Name,Google Scholar,Scopus,Subject
226,Колеснікова Катерина Вікторівна,22,3,інформатика - Strategic Management
227,Крисоватий Андрій Ігорович,22,-,економіка - Accounting & Taxation
228,Круцевич Тетяна Юріївна,22,-,педагогіка - Physical Education & Sports Medicine
229,Кузьмін Віктор Євгенович,22,13,хімія - Molecular Modeling
230,Лісогор Лариса Сергіївна,22,-,економіка - Sociology
231,Локтєв Вадим Михайлович,22,18,фізика та математика - Condensed Matter Physics & Semiconductors
232,Лукін Олег Васильович,22,20,хімія - Analytical Chemistry
233,Луніна Інна Олександрівна,22,-,економіка - Finance
234,Лущак Олег Володимирович,22,13,науки про життя - Biochemistry
235,Макарова Олена Володимирівна,22,-,економіка - Sociology
236,Новіков Валерій Миколайович,22,-,економіка - Sociology
237,Омельянчук Олександр Миколайович,22,15,фізика та математика - Mathematical Physics
238,Пан Володимир Михайлович,22,15,фізика та математика - Condensed Matter Physics & Semiconductors
239,Семиченко Валентина Анатоліївна,22,-,гуманітарні науки - Educational Psychology & Counseling
240,Толмачов Андрій Олексійович,22,21,хімія - Biochemistry
241,Трохимчук Андрій Дмитрович,22,18,фізика та математика - Condensed Matter Physics & Semiconductors
242,Чумаченко Микола Григорович (1925-2011),22,1,економіка - Economics
243,Шевченко Василь Григорович,22,19,фізика та математика - Astronomy & Astrophysics
244,Юхновський Ігор Рафаїлович,22,7,фізика та математика - Physics & Mathematics
245,Берцик Петер Петерович,21,14,фізика та математика - Astronomy & Astrophysics
246,Білорус Олег Григорович,21,2,економіка - Economics
247,Букалов Олександр Валентинович,21,1,суспільні науки - Social Work
248,Гаркуша Ігор Євгенійович,21,16,фізика та математика - Condensed Matter Physics & Semiconductors
249,Герасимчук Зоряна Вікторівна,21,1,економіка - Development Economics
250,Гладишевський Роман Євгенович,21,17,хімія - Inorganic Chemistry
251,Гогота Ольга Петрівна,21,9,фізика та математика - High Energy & Nuclear Physics
252,Данилов Фелікс Йосипович,21,17,хімія - Electrochemistry
